,Feature,Importance
337,category_last_Bolsas Ecológicas,0.0
338,category_last_Bolsas al Vacío,0.0
339,category_last_Bolsas de Colostomía,0.0
340,category_last_Bolsas de Dormir,0.0
341,category_last_Bolsas de Hidratación,0.0
342,category_last_Bolsas para Aspiradoras,0.0
343,category_last_Bolsas para Lavar Ropa,0.0
344,category_last_Bolsos,0.0
345,category_last_Bolsos Deportivos,0.0
346,category_last_Bolsos Materos,0.0
347,category_last_Bolsos Organizadores,0.0
348,category_last_Bolsos de Herramientas,0.0
349,category_last_Bolsos de Viaje,0.0
350,category_last_Bolsos para Palos,0.0
351,category_last_Bolsos y Mochilas Tácticas,0.0
352,category_last_Bolígrafos,0.0
353,category_last_Bombachas,0.001331373
354,category_last_Bombas,0.0
355,category_last_Bombas Centrífugas,0.0
356,category_last_Bombas Presurizadoras,0.0
357,category_last_Bombas Sumergibles,0.0
358,category_last_Bombas para Bidones,0.0
359,category_last_Bombas para Piletas,0.0
360,category_last_Bombillas para Mate,0.0
361,category_last_Bongos,0.0
362,category_last_Bonés,0.0
363,category_last_Boquillas,0.0
364,category_last_Borceguies,0.0
365,category_last_Boroscopios,0.0
366,category_last_Botadores,0.0
367,category_last_Botas,0.0
368,category_last_Botas y Botinetas,0.0034506598
369,category_last_Botellas Deportivas,0.0
370,category_last_Botes,0.0
371,category_last_Botines,0.0
372,category_last_Botines de Hockey,0.0
373,category_last_Botines y Zapatos,0.0
374,category_last_Botiquines,0.0
375,category_last_Boxers y Slips,0.0021223451
376,category_last_Boyas,0.0
377,category_last_Bozales,0.0
378,category_last_Brackets,0.0
379,category_last_Brandy,0.0
380,category_last_Brochas para Maquillaje,0.0
381,category_last_Bronceadores,0.0
382,category_last_Brújulas,0.0
383,category_last_Bucleras,0.0
384,category_last_Bufandas,0.0
385,category_last_Bulones,0.0
386,category_last_Bulones de Rueda,0.0
387,category_last_Burbujas,0.0
388,category_last_Burbujeros,0.0
389,category_last_Burletes,0.0021865757
390,category_last_Burros de Arranque,0.0
391,category_last_Buzones de Cartas,0.0
392,category_last_Buzos,0.0
393,category_last_Buzos y Hoodies,0.0
394,category_last_Bálsamos Labiales,0.0
395,category_last_Bípodes,0.0
396,category_last_Caballetes,0.0
397,category_last_Caballitos Mecedores,0.0
398,category_last_Cabezales,0.0
399,category_last_Cabezales para Compresores,0.0
400,category_last_Cabezas de Práctica,0.0
401,category_last_Cabinas para Uñas,0.0
402,category_last_Cableado,0.0
403,category_last_Cables,0.0
404,category_last_Cables Adaptadores,0.0
405,category_last_Cables Power,0.0
406,category_last_Cables Subterráneos,0.0
407,category_last_Cables Taller,0.0
408,category_last_Cables Unipolares,0.0
409,category_last_Cables de Apertura,0.0
410,category_last_Cables de Audio y Video,0.0
411,category_last_Cables de Bujía,0.0
412,category_last_Cables de Datos,0.008545988
413,category_last_Cables de Red,0.0
414,category_last_Cables y Adaptadores,0.0
415,category_last_Cables y Conectores,0.0
416,category_last_Cacao,0.0
417,category_last_Cadenas de Seguridad,0.0
418,category_last_Cadenas y Collares,0.0
419,category_last_Cafeteras,0.0
420,category_last_Café Instantáneo,0.0
421,category_last_Café en Granos y Molido,0.0
422,category_last_Caja de Engranajes,0.0
423,category_last_Cajas,0.0
424,category_last_Cajas Decoradas,0.0
425,category_last_Cajas Fuertes,0.0
426,category_last_Cajas Registradoras,0.0
427,category_last_Cajas de Archivo,0.0
428,category_last_Cajas de Dirección,0.0
429,category_last_Cajas de Herramientas,0.0
430,category_last_Cajas de Ingletes,0.0
431,category_last_Cajas de Paso Estancas,0.0
432,category_last_Cajas para Dinero,0.0
433,category_last_Cajas para Térmicas,0.0
434,category_last_Cajones de Madera,0.0
435,category_last_Cal,0.0
436,category_last_Caladoras,0.0
437,category_last_Calcomanías,0.0
438,category_last_Calculadoras,0.0
439,category_last_Calefones,0.0
440,category_last_Calendarios,0.0
441,category_last_Calentadores,0.0
442,category_last_Calibres,0.0
443,category_last_Calzados,0.0
444,category_last_Calzas,0.0
445,category_last_Calzas Ciclistas,0.0
446,category_last_Camas,0.0
447,category_last_Camas Elásticas,0.0
448,category_last_Camicletas,0.0
449,category_last_Camillas para Masajes,0.0
450,category_last_Camisas,0.0
451,category_last_Camisetas,0.0
452,category_last_Camisetas Térmicas,0.0
453,category_last_Camisetas y Remeras,0.0
454,"category_last_Camisetas, Remeras y Chombas",0.0
455,category_last_Camisones,0.0
456,category_last_Campanas,0.0
457,category_last_Camperas,0.0
458,"category_last_Camperas, Tapados y Trenchs",0.0
459,category_last_Canastos,0.0
460,category_last_Canastos para Bicicleta,0.0
461,category_last_Candados,0.0
462,category_last_Candados y Cables de Seguridad,0.0
463,category_last_Canillas para Cerveza Tirada,0.0
464,category_last_Canilleras,0.0
465,category_last_Capacitores,0.0
466,category_last_Capas,0.0
467,category_last_Capas Impermeables,0.0
468,category_last_Capotrastes,0.0
469,category_last_Carameleras,0.0
470,category_last_Caravanas,0.0
471,category_last_Carburadores,0.0
472,category_last_Carcasas,0.0
473,category_last_Carcasas para Cortadoras,0.0
474,category_last_Cardigans y Saquitos,0.0
475,category_last_Cargadores,0.0
476,category_last_Cargadores con Cable,0.0
477,category_last_Cargadores de Baterías,0.0
478,category_last_Cargadores de Controles,0.0058639674
479,category_last_Cargadores para Cámaras,0.0
480,category_last_Cargadores y Fuentes,0.0
481,category_last_Carpas,0.0
482,category_last_Carpas para Cultivo Indoor,0.0
483,category_last_Carpas para Niños,0.0
484,category_last_Carpetas y Biblioratos,0.0
485,category_last_Carreteles,0.0
486,category_last_Carretillas,0.0
487,category_last_Carritos de Supermercado,0.0
488,category_last_Carritos para Compras,0.0
489,category_last_Carros Plataforma,0.0
490,category_last_Carros Zorra,0.0
491,category_last_Carros de Traslación,0.0
492,category_last_Carros de limpieza,0.0
493,category_last_Cartas Coleccionables R.P.G.,0.0
494,category_last_Cartas Didácticas,0.0
495,category_last_Carteles,0.0
496,category_last_Carteles Decorativos,0.0
497,category_last_Carteles Luminosos,0.0018127684
498,category_last_Carteles sin Luz,0.0
499,category_last_Carteles y Letreros,0.0
500,category_last_Carteras,0.0
501,category_last_Cartucheras,0.0
502,category_last_Cartucheras Portaherramientas,0.0
503,category_last_Cartuchos para Afeitadoras,0.0
504,category_last_Casas para Muñecas y Muñecos,0.0
505,category_last_Casas para Pájaros,0.0
506,category_last_Cascos,0.0
507,category_last_Cascos VR,0.0
508,category_last_Catres,0.0
509,category_last_Cavas Conservadoras,0.0
510,category_last_Cazoletas,0.0
511,category_last_Cañas,0.0
512,category_last_Celulares y Smartphones,0.0048418515
513,category_last_Cencerros,0.0
514,category_last_Ceniceros,0.0
515,category_last_Centrales Multimedia,0.0
516,category_last_Centro de Actividades,0.0
517,category_last_Centrífugas Digitales,0.0
518,category_last_Cepilladoras,0.0
519,category_last_Cepillos,0.0
520,category_last_Cepillos Alisadores,0.0
521,category_last_Cepillos Eléctricos Faciales,0.0
522,category_last_Cepillos Globales,0.0
523,category_last_Cepillos Interdentales,0.0
524,category_last_Cepillos Rotativos,0.0
525,category_last_Cepillos de Alambre,0.0
526,category_last_Cepillos de Dientes,0.0
527,category_last_Cepillos y Peines,0.0
528,category_last_Cera Depilatoria,0.0
529,category_last_Cera para Ortodoncia,0.0
530,category_last_Cercos de Jardín,0.0
531,category_last_Cerraduras de Baúl,0.0
532,category_last_Cerraduras de Capot,0.0
533,category_last_Cervezas,0.0
534,category_last_Cerámicas,0.0
535,category_last_Cestos Papeleros,0.0
536,category_last_Cestos de Residuos,0.0
537,category_last_Cestos para Ropa,0.0
538,category_last_Chalecos,0.0
539,category_last_Chalecos Reflectivos,0.0
540,category_last_Chalecos con Peso,0.0
541,category_last_Champagnes,0.0
542,category_last_Chapas,0.0
543,category_last_Chapas Identificatorias,0.0
544,category_last_Chapones Cubrecarters,0.0
545,category_last_Chatitas,0.0
546,category_last_Chocolates,0.0
547,category_last_Chombas,0.0
548,category_last_Choperas Manuales,0.0
549,category_last_Chupetes,0.0
550,category_last_Ciclocomputadoras,0.0
551,category_last_Cielo Raso,0.0
552,category_last_Cierra Empanadas,0.0
553,category_last_Cierres,0.0
554,category_last_Cierres Centralizados,0.0
555,category_last_Cigarreras,0.0
556,category_last_Cinceles y Formones,0.0
557,category_last_Cinta Aisladora,0.0
558,category_last_Cinta Antideslizante,0.0
559,category_last_Cintas,0.0
560,category_last_Cintas Adhesivas,0.0
561,category_last_Cintas Kinesiológicas,0.0
562,category_last_Cintas Métricas,0.0
563,category_last_Cintas Reflectivas,0.0
564,category_last_Cintas de Amarre,0.0
565,category_last_Cintas de Embalaje,0.0
566,category_last_Cintas de Peligro,0.0
567,category_last_Cintas para Correr,0.0
568,category_last_Cintas para Rotuladoras,0.0
569,category_last_Cinturones,0.0
570,category_last_Cinturones Abdominales,0.0
571,category_last_Cinturones de Seguridad,0.0
572,category_last_Circulares,0.0
573,category_last_Claquetas de Cine,0.0
574,category_last_Clavadoras,0.0
575,category_last_Clavijas,0.0
576,category_last_Clavos,0.0
577,category_last_Clickers,0.0
578,category_last_Climatizadores Portátiles,0.0
579,category_last_Clipcords,0.0
580,category_last_Cloro para Piletas,0.0
581,category_last_Cochecitos para Bebés,0.0
582,category_last_Cochecitos para Muñecas,0.0
583,category_last_Cocinas,0.0
584,category_last_Cocinas Industriales,0.0
585,category_last_Cocinas de Juguete,0.0
586,category_last_Cognac,0.0
587,category_last_Coladores,0.0
588,category_last_Colchas y Cubrecamas,0.0
589,category_last_Colchones,0.0
590,category_last_Colchones Antiescaras,0.0
591,category_last_Colchones Inflables,0.0
592,category_last_Colchonetas,0.0
593,category_last_Collares,0.0
594,category_last_Collares Cervicales,0.0
595,category_last_Collares y Pulseras,0.0
596,category_last_Columnas de Ducha,0.0
597,category_last_Combinadas,0.0
598,category_last_Comederos,0.0
599,category_last_Comederos y Bebederos,0.0
600,category_last_Composteras,0.0
601,category_last_Compoteras y Bowls,0.0
602,category_last_Compresores,0.0
603,category_last_Computadoras Didácticas,0.0
604,category_last_Conectores,0.0
605,category_last_Conjuntos,0.0
606,category_last_Conjuntos Deportivos,0.0
607,category_last_Conjuntos para Ciclismo,0.0
608,category_last_Conos,0.0
609,category_last_Conos de Seguridad,0.0
610,category_last_Consolas,0.0
611,category_last_Consolas de Sonido,0.0
612,category_last_Contadoras de Billetes,0.0
613,category_last_Contenedores de Alimento,0.0
614,category_last_Controladores,0.0
615,category_last_Controladores Midi,0.0
616,category_last_Controladores de Asistencia,0.0
617,category_last_Controles Remotos,0.0
618,category_last_Controles Remotos para Portón,0.0
619,category_last_Conversor,0.0
620,category_last_Conversores de Audio y Video,0.0
621,category_last_Conversores de TV,0.0
622,category_last_Cooktop,0.0
623,category_last_Coolers para PC,0.0
624,category_last_Copas,0.0
625,category_last_Copas Menstruales,0.0
626,category_last_Corbatas,0.0
627,category_last_Cordones,0.0
628,category_last_Coronas y Vinchas,0.0
629,category_last_Corpiños,0.0
630,category_last_Correas,0.0
631,category_last_Correas de Muñeca,0.0
632,category_last_Correctores,0.0
633,category_last_Correctores de Juanetes,0.0
