Feature,weight,gain,cover,total_gain,total_cover
category_last_Almohadas,2.0,11.465997695922852,1206.726318359375,22.931995391845703,2413.45263671875
category_last_Almohadas para Viaje,0.0,0.0,0.0,0.0,0.0
category_last_Almohadillas Relajantes,0.0,0.0,0.0,0.0,0.0
category_last_Almohadillas Térmicas,0.0,0.0,0.0,0.0,0.0
category_last_Almohadones,0.0,0.0,0.0,0.0,0.0
category_last_Almohadones de Maternidad,0.0,0.0,0.0,0.0,0.0
category_last_Alpargatas,0.0,0.0,0.0,0.0,0.0
category_last_Amasadoras,0.0,0.0,0.0,0.0,0.0
category_last_Ambos Médicos,0.0,0.0,0.0,0.0,0.0
category_last_Amoladoras,0.0,0.0,0.0,0.0,0.0
category_last_Amperímetros,0.0,0.0,0.0,0.0,0.0
category_last_Amplificadores,0.0,0.0,0.0,0.0,0.0
category_last_Amplificadores de Audio,0.0,0.0,0.0,0.0,0.0
category_last_Anafes,0.0,0.0,0.0,0.0,0.0
category_last_Anafes Portátiles,0.0,0.0,0.0,0.0,0.0
category_last_Anclas,0.0,0.0,0.0,0.0,0.0
category_last_Andadores y Caminadores,0.0,0.0,0.0,0.0,0.0
category_last_Anilinas,0.0,0.0,0.0,0.0,0.0
category_last_Anillos,0.0,0.0,0.0,0.0,0.0
category_last_Anillos para Celulares,0.0,0.0,0.0,0.0,0.0
category_last_Antenas Wireless,0.0,0.0,0.0,0.0,0.0
category_last_Antenas de TV,0.0,0.0,0.0,0.0,0.0
category_last_Antenas para Walkie-Talkies,0.0,0.0,0.0,0.0,0.0
category_last_Anteojos,0.0,0.0,0.0,0.0,0.0
category_last_Anteojos de Sol,0.0,0.0,0.0,0.0,0.0
category_last_Antideslizantes para Bañera,0.0,0.0,0.0,0.0,0.0
category_last_Antiparras,0.0,0.0,0.0,0.0,0.0
category_last_Antiparras y Snorkels,0.0,0.0,0.0,0.0,0.0
category_last_Antirrobos de Ruedas,0.0,0.0,0.0,0.0,0.0
category_last_Anzuelos,0.0,0.0,0.0,0.0,0.0
category_last_Aparadores y Vajilleros,0.0,0.0,0.0,0.0,0.0
category_last_Aparatos Repelentes,0.0,0.0,0.0,0.0,0.0
category_last_Aparatos para Abdominales,0.0,0.0,0.0,0.0,0.0
category_last_Aparejos Eléctricos,0.0,0.0,0.0,0.0,0.0
category_last_Aparejos Manuales,0.0,0.0,0.0,0.0,0.0
category_last_Apoya Celulares,0.0,0.0,0.0,0.0,0.0
category_last_Arcos,0.0,0.0,0.0,0.0,0.0
category_last_Arcos y Flechas,0.0,0.0,0.0,0.0,0.0
category_last_Arduino,0.0,0.0,0.0,0.0,0.0
category_last_Arenadoras,0.0,0.0,0.0,0.0,0.0
category_last_Armarios para Lavadero,0.0,0.0,0.0,0.0,0.0
category_last_Armónicas,0.0,0.0,0.0,0.0,0.0
category_last_Arneses y Pretales,0.0,0.0,0.0,0.0,0.0
category_last_Aromatizadores,0.0,0.0,0.0,0.0,0.0
category_last_Aromatizadores y Purificadores,0.0,0.0,0.0,0.0,0.0
category_last_Aros,0.0,0.0,0.0,0.0,0.0
category_last_Aros de Baño,0.0,0.0,0.0,0.0,0.0
category_last_Aros y Tableros,0.0,0.0,0.0,0.0,0.0
category_last_Arroceras,0.0,0.0,0.0,0.0,0.0
category_last_Arroz,0.0,0.0,0.0,0.0,0.0
category_last_Artefactos de Iluminación,0.0,0.0,0.0,0.0,0.0
category_last_Asientos,0.0,0.0,0.0,0.0,0.0
category_last_Asientos Masajeadores,0.0,0.0,0.0,0.0,0.0
category_last_Asientos de Kayaks,0.0,0.0,0.0,0.0,0.0
category_last_Aspersores,0.0,0.0,0.0,0.0,0.0
category_last_Aspiradoras,1.0,11.8387451171875,1320.436279296875,11.8387451171875,1320.436279296875
category_last_Aspiradoras Robot,0.0,0.0,0.0,0.0,0.0
category_last_Aspiradores Nasales,0.0,0.0,0.0,0.0,0.0
category_last_Atornillador y Destornillador,6.0,20.51190185546875,4005.4580078125,123.0714111328125,24032.748046875
category_last_Atriles,0.0,0.0,0.0,0.0,0.0
category_last_Audífonos,0.0,0.0,0.0,0.0,0.0
category_last_Auriculares,1.0,10.16351318359375,1218.6541748046875,10.16351318359375,1218.6541748046875
category_last_Auriculares y Manos Libres,0.0,0.0,0.0,0.0,0.0
category_last_Autobronceantes,0.0,0.0,0.0,0.0,0.0
category_last_Automodelismo,0.0,0.0,0.0,0.0,0.0
category_last_Autos a Batería,0.0,0.0,0.0,0.0,0.0
category_last_Autos de Juguete,0.0,0.0,0.0,0.0,0.0
category_last_Azadas,0.0,0.0,0.0,0.0,0.0
category_last_Azúcar,0.0,0.0,0.0,0.0,0.0
category_last_BB Cream,0.0,0.0,0.0,0.0,0.0
category_last_Baberos para Comer,0.0,0.0,0.0,0.0,0.0
category_last_Babitas,0.0,0.0,0.0,0.0,0.0
category_last_Baby Calls,0.0,0.0,0.0,0.0,0.0
category_last_Bachas de Cocina,0.0,0.0,0.0,0.0,0.0
category_last_Bachas para Baño,0.0,0.0,0.0,0.0,0.0
category_last_Bajo Mesadas,0.0,0.0,0.0,0.0,0.0
category_last_Bajos,0.0,0.0,0.0,0.0,0.0
category_last_Balanzas Comerciales,0.0,0.0,0.0,0.0,0.0
category_last_Balanzas de Baño,4.0,5.751220703125,6835.47314453125,23.0048828125,27341.892578125
category_last_Balanzas de Cocina,0.0,0.0,0.0,0.0,0.0
category_last_Balanzas de Precisión,0.0,0.0,0.0,0.0,0.0
category_last_Balanzas para Valijas,0.0,0.0,0.0,0.0,0.0
"category_last_Baldes, Palanganas y Fuentones",2.0,12.517738342285156,655.1040649414062,25.035476684570312,1310.2081298828125
category_last_Baldosas de Cemento,0.0,0.0,0.0,0.0,0.0
category_last_Balines,0.0,0.0,0.0,0.0,0.0
category_last_Balizas,0.0,0.0,0.0,0.0,0.0
category_last_Banco de Trabajo,0.0,0.0,0.0,0.0,0.0
category_last_Bancos,0.0,0.0,0.0,0.0,0.0
category_last_Bancos y Banquetas,0.0,0.0,0.0,0.0,0.0
category_last_Bandas Depilatorias,0.0,0.0,0.0,0.0,0.0
category_last_Bandas Elásticas,0.0,0.0,0.0,0.0,0.0
category_last_Bandas de Suspensión,0.0,0.0,0.0,0.0,0.0
category_last_Bandas para Cintas de Correr,0.0,0.0,0.0,0.0,0.0
category_last_Bandejas,0.0,0.0,0.0,0.0,0.0
category_last_Bandejas Portapapeles,0.0,0.0,0.0,0.0,0.0
"category_last_Bandejas, Asaderas y Fuentes",0.0,0.0,0.0,0.0,0.0
category_last_Banderas,0.0,0.0,0.0,0.0,0.0
category_last_Banderines,0.0,0.0,0.0,0.0,0.0
category_last_Banderines y Guirnaldas,0.0,0.0,0.0,0.0,0.0
category_last_Banquetas,0.0,0.0,0.0,0.0,0.0
category_last_Barandas,0.0,0.0,0.0,0.0,0.0
category_last_Barbijos,0.0,0.0,0.0,0.0,0.0
category_last_Barbijos Antipolvo,0.0,0.0,0.0,0.0,0.0
category_last_Barcos Antiguos y Fragatas,0.0,0.0,0.0,0.0,0.0
category_last_Barrales Antipánico,0.0,0.0,0.0,0.0,0.0
category_last_Barrales de Suspensión,0.0,0.0,0.0,0.0,0.0
category_last_Barrales para Cortinas,0.0,0.0,0.0,0.0,0.0
category_last_Barras LED,0.0,0.0,0.0,0.0,0.0
category_last_Barras Push Up,0.0,0.0,0.0,0.0,0.0
category_last_Barras de Cereal,0.0,0.0,0.0,0.0,0.0
category_last_Barras de Silicona,0.0,0.0,0.0,0.0,0.0
category_last_Barras para Dominadas,0.0,0.0,0.0,0.0,0.0
category_last_Barre Migas,0.0,0.0,0.0,0.0,0.0
category_last_Barrefondos,0.0,0.0,0.0,0.0,0.0
category_last_Barretas,0.0,0.0,0.0,0.0,0.0
category_last_Barriletes - Cometas,0.0,0.0,0.0,0.0,0.0
category_last_Bases,0.0,0.0,0.0,0.0,0.0
category_last_Bases de Maquillaje,0.0,0.0,0.0,0.0,0.0
category_last_Bases para Butacas,0.0,0.0,0.0,0.0,0.0
category_last_Bases para Sommiers,0.0,0.0,0.0,0.0,0.0
category_last_Bastones,0.0,0.0,0.0,0.0,0.0
category_last_Batas,0.0,0.0,0.0,0.0,0.0
category_last_Batas de Baño,0.0,0.0,0.0,0.0,0.0
category_last_Baterías,0.0,0.0,0.0,0.0,0.0
category_last_Baterías Acústicas,0.0,0.0,0.0,0.0,0.0
category_last_Baterías Completas,0.0,0.0,0.0,0.0,0.0
category_last_Baterías para Cámaras,0.0,0.0,0.0,0.0,0.0
category_last_Bates,0.0,0.0,0.0,0.0,0.0
category_last_Batidoras,0.0,0.0,0.0,0.0,0.0
category_last_Batidores Manuales,0.0,0.0,0.0,0.0,0.0
category_last_Batidores de Pintura,0.0,0.0,0.0,0.0,0.0
category_last_Bañeras para Bebés,0.0,0.0,0.0,0.0,0.0
category_last_Baúles Porta Cascos,0.0,0.0,0.0,0.0,0.0
category_last_Baúles para Delivery,0.0,0.0,0.0,0.0,0.0
category_last_Bebederos,0.0,0.0,0.0,0.0,0.0
category_last_Bebidas Alcohólicas Preparadas,0.0,0.0,0.0,0.0,0.0
category_last_Bebidas Aperitivos,0.0,0.0,0.0,0.0,0.0
category_last_Bebidas Energizantes,0.0,0.0,0.0,0.0,0.0
category_last_Bencina,0.0,0.0,0.0,0.0,0.0
category_last_Bermudas y Shorts,0.0,0.0,0.0,0.0,0.0
"category_last_Bermudas, Boxers y Zungas",0.0,0.0,0.0,0.0,0.0
"category_last_Bermudas, Sungas y Shorts",0.0,0.0,0.0,0.0,0.0
category_last_Bibliotecas y Estanterías,0.0,0.0,0.0,0.0,0.0
category_last_Bicicletas,0.0,0.0,0.0,0.0,0.0
category_last_Bicicletas Fijas,0.0,0.0,0.0,0.0,0.0
category_last_Bidets,0.0,0.0,0.0,0.0,0.0
category_last_Bielas,0.0,0.0,0.0,0.0,0.0
category_last_Bieletas,0.0,0.0,0.0,0.0,0.0
category_last_Biferas,0.0,0.0,0.0,0.0,0.0
category_last_Billeteras,0.0,0.0,0.0,0.0,0.0
category_last_Binoculares,0.0,0.0,0.0,0.0,0.0
category_last_Biombos,0.0,0.0,0.0,0.0,0.0
category_last_Bisagras,0.0,0.0,0.0,0.0,0.0
category_last_Bisagras de Capot,0.0,0.0,0.0,0.0,0.0
category_last_Blanqueador Dental,0.0,0.0,0.0,0.0,0.0
category_last_Bloqueras,0.0,0.0,0.0,0.0,0.0
category_last_Bloques y Construcción,0.0,0.0,0.0,0.0,0.0
category_last_Blusas,0.0,0.0,0.0,0.0,0.0
category_last_Bochas,0.0,0.0,0.0,0.0,0.0
category_last_Bochas y Fundas para Palancas,0.0,0.0,0.0,0.0,0.0
category_last_Bodyboard,0.0,0.0,0.0,0.0,0.0
category_last_Bodys,0.0,0.0,0.0,0.0,0.0
category_last_Bolas Espejadas,0.0,0.0,0.0,0.0,0.0
category_last_Bolitas de Gel,0.0,0.0,0.0,0.0,0.0
category_last_Bolsas,0.0,0.0,0.0,0.0,0.0
category_last_Bolsas Ecológicas,0.0,0.0,0.0,0.0,0.0
category_last_Bolsas al Vacío,0.0,0.0,0.0,0.0,0.0
category_last_Bolsas de Colostomía,0.0,0.0,0.0,0.0,0.0
category_last_Bolsas de Dormir,0.0,0.0,0.0,0.0,0.0
category_last_Bolsas de Hidratación,0.0,0.0,0.0,0.0,0.0
category_last_Bolsas para Aspiradoras,0.0,0.0,0.0,0.0,0.0
category_last_Bolsas para Lavar Ropa,0.0,0.0,0.0,0.0,0.0
category_last_Bolsos,0.0,0.0,0.0,0.0,0.0
category_last_Bolsos Deportivos,0.0,0.0,0.0,0.0,0.0
category_last_Bolsos Materos,0.0,0.0,0.0,0.0,0.0
category_last_Bolsos Organizadores,0.0,0.0,0.0,0.0,0.0
category_last_Bolsos de Herramientas,0.0,0.0,0.0,0.0,0.0
category_last_Bolsos de Viaje,0.0,0.0,0.0,0.0,0.0
category_last_Bolsos para Palos,0.0,0.0,0.0,0.0,0.0
category_last_Bolsos y Mochilas Tácticas,0.0,0.0,0.0,0.0,0.0
category_last_Bolígrafos,0.0,0.0,0.0,0.0,0.0
